code,company_name,sector33_name,close,pct_below_52w_high,recent_breakout_count_120d,trailing_return_pct,expected_win_rate_pct,expected_return_pct,sector_adjustment_pct,tightness_bonus_pct,composite_score,expected_value_sample_size,stop_loss_price,take_profit_price
58320,ちゅうぎんフィナンシャルグループ,銀行業,3537.0,2.0221606648199444,3.0,4.032970267883427,70.9,3.47,2.588,-0.649,5.41,1149,3254.0,4067.6
85500,栃木銀行,銀行業,1114.0,2.6223776223776225,2.0,3.9660056657223794,68.1,2.85,2.588,-1.0,4.44,1306,1024.9,1281.1
67180,アイホン,電気機器,2870.0,8.30670926517572,0.0,1.1702127659574468,65.6,2.3,0.69,0.924,3.91,6209,2640.4,3300.5
79470,エフピコ,化学,2807.0,3.0397236614853194,2.0,6.530612244897959,70.8,3.39,0.501,0.023,3.91,698,2582.4,3228.0
79890,立川ブラインド工業,金属製品,2665.0,2.843601895734597,3.0,3.883876029815614,70.9,3.47,-0.066,0.496,3.9,1149,2451.8,3064.7
72780,エクセディ,輸送用機器,6090.0,3.1796502384737675,2.0,3.0201342281879198,68.1,2.85,0.343,0.634,3.83,1306,5602.8,7003.5
62720,レオン自動機,機械,1552.0,6.506024096385541,0.0,4.600811907983761,67.7,2.73,0.397,0.649,3.78,7160,1427.8,1784.8
49510,エステー,化学,1508.0,7.654623392529087,0.0,2.1462105969148224,65.6,2.3,0.501,0.878,3.68,6209,1387.4,1734.2
18730,日本ハウスホールディングス,建設業,310.0,7.18562874251497,0.0,6.578947368421052,65.3,2.9,0.51,0.267,3.68,2561,285.2,356.5
64190,マースグループホールディングス,機械,3190.0,4.491017964071856,0.0,3.225806451612903,67.7,2.73,0.397,0.542,3.67,7160,2934.8,3668.5
68090,ＴＯＡ,電気機器,1762.0,8.515057113187954,2.0,5.632115038945476,68.1,2.85,0.69,0.084,3.62,1306,1621.0,2026.3
20010,ニップン,食料品,2910.0,2.9676558852950983,3.0,3.9057002111189303,70.9,3.47,-0.416,0.481,3.54,1149,2677.2,3346.5
76830,ダブルエー,小売業,1408.0,3.7593984962406015,3.0,3.837638376383764,70.9,3.47,-0.912,0.969,3.53,1149,1295.4,1619.2
95360,西部ガスホールディングス,電気･ガス業,2500.0,5.087319665907366,1.0,6.104281475201356,70.5,3.18,-0.044,0.344,3.48,772,2300.0,2875.0
59330,アルインコ,金属製品,1121.0,6.893687707641195,0.0,3.6730945821854912,67.7,2.73,-0.066,0.771,3.44,7160,1031.3,1289.1
73130,テイ・エス　テック,輸送用機器,1849.0,8.397324746098587,0.0,2.0436343551505107,65.6,2.3,0.343,0.802,3.44,6209,1701.1,2126.4
63450,アイチ　コーポレーション,機械,1471.0,1.14247311827957,2.0,3.5137034434293746,68.1,2.85,0.397,0.13,3.38,1306,1353.3,1691.6
22880,丸大食品,食料品,2244.0,9.443099273607748,1.0,6.273584905660377,70.5,3.18,-0.416,0.588,3.35,772,2064.5,2580.6
51850,フコク,ゴム製品,2005.0,5.335221907459868,0.0,7.413333333333333,65.3,2.9,0.394,0.008,3.3,2561,1844.6,2305.8
87930,ＮＥＣキャピタルソリューション,その他金融業,4210.0,3.990877993158495,0.0,3.082614056720099,67.7,2.73,-0.134,0.679,3.28,7160,3873.2,4841.5
25940,キーコーヒー,食料品,2015.0,3.031761308950914,0.0,3.0056036678553237,67.7,2.73,-0.416,0.954,3.27,7160,1853.8,2317.2
64120,平和,機械,2155.0,4.519273371732388,2.0,3.837044054950261,68.1,2.85,0.397,-0.008,3.24,1306,1982.6,2478.2
80970,三愛オブリ,卸売業,2404.0,8.033664881407804,2.0,7.688908528501988,70.8,3.39,0.078,-0.252,3.22,698,2211.7,2764.6
95350,広島ガス,電気･ガス業,435.0,1.583710407239819,2.0,7.862407862407863,70.8,3.39,-0.044,-0.16,3.19,698,400.2,500.2
25935,伊藤園（優先株式）,食料品,1799.0,5.86080586080586,1.0,1.2366498032602586,66.8,2.57,-0.416,0.985,3.14,1003,1655.1,2068.8
72410,フタバ産業,輸送用機器,1115.0,5.4283290924512295,0.0,7.485604606525912,65.3,2.9,0.343,-0.099,3.14,2561,1025.8,1282.2
52690,日本コンクリート工業,ガラス･土石製品,370.0,6.329113924050633,0.0,5.507246376811594,67.7,2.73,1.072,-0.664,3.14,7160,340.4,425.5
59110,横河ブリッジホールディングス,金属製品,2960.0,9.341500765696784,0.0,1.8064076346284936,65.6,2.3,-0.066,0.893,3.13,6209,2723.2,3404.0
29080,フジッコ,食料品,1609.0,4.623592175459396,0.0,5.947712418300653,67.7,2.73,-0.416,0.817,3.13,7160,1480.3,1850.4
66300,ヤーマン,電気機器,785.0,6.990521327014218,1.0,6.490066225165562,70.5,3.18,0.69,-0.74,3.13,772,722.2,902.7
32840,フージャースホールディングス,不動産業,1277.0,9.432624113475176,0.0,6.147540983606557,65.3,2.9,-0.159,0.374,3.12,2561,1174.8,1468.6
81300,サンゲツ,卸売業,3175.0,5.786350148367952,0.0,1.1128775834658187,65.6,2.3,0.078,0.71,3.09,6209,2921.0,3651.2
22110,不二家,食料品,2489.0,7.299813780260708,0.0,4.663865546218488,67.7,2.73,-0.416,0.756,3.07,7160,2289.9,2862.4
40440,セントラル硝子,化学,4490.0,6.263048016701461,3.0,4.332552693208431,70.9,3.47,0.501,-0.908,3.06,1149,4130.8,5163.5
29100,ロック・フィールド,食料品,1428.0,6.23768877216021,0.0,7.105847520355292,65.3,2.9,-0.416,0.573,3.06,2561,1313.8,1642.2
51920,三ツ星ベルト,ゴム製品,4370.0,5.920344456404736,3.0,6.740196078431373,69.1,3.16,0.394,-0.527,3.03,647,4020.4,5025.5
88030,平和不動産,不動産業,2350.0,7.770800627943484,0.0,2.71786022433132,65.6,2.3,-0.159,0.863,3.0,6209,2162.0,2702.5
63090,巴工業,機械,2058.0,8.083966056275123,0.0,5.77319587628866,67.7,2.73,0.397,-0.13,3.0,7160,1893.4,2366.7
79490,小松ウオール工業,その他製品,2845.0,7.026143790849673,0.0,3.473491773308958,67.7,2.73,-0.312,0.557,2.98,7160,2617.4,3271.7
