code,company_name,sector33_name,close,pct_below_52w_high,recent_breakout_count_120d,trailing_return_pct,expected_win_rate_pct,expected_return_pct,sector_adjustment_pct,tightness_bonus_pct,composite_score,expected_value_sample_size,stop_loss_price,take_profit_price
93240,安田倉庫,倉庫･運輸関連業,2683.0,2.4363636363636365,2.0,6.262154803578373,69.7,3.26,0.676,-0.303,3.63,723,2468.4,3085.4
42060,アイカ工業,化学,4151.0,2.214369846878681,3.0,2.3610427939006393,62.1,2.65,0.488,0.213,3.35,729,3818.9,4773.6
73880,ＦＰパートナー,保険業,2314.0,7.955449482895784,0.0,3.7516748548459136,67.0,2.64,0.024,0.528,3.19,7320,2128.9,2661.1
81300,サンゲツ,卸売業,3185.0,5.489614243323442,0.0,2.3961661341853033,65.2,2.24,0.088,0.865,3.19,6347,2930.2,3662.7
64190,マースグループホールディングス,機械,3205.0,4.04191616766467,0.0,1.4106583072100314,65.2,2.24,0.385,0.551,3.18,6347,2948.6,3685.7
90810,神奈川中央交通,陸運業,4020.0,1.8315018315018317,3.0,5.038759689922481,70.4,3.37,-0.641,0.438,3.17,1199,3698.4,4623.0
79470,エフピコ,化学,2827.0,2.3488773747841107,2.0,4.643387815750372,68.5,2.86,0.488,-0.191,3.16,1355,2600.8,3251.0
80520,椿本興業,卸売業,2915.0,7.3131955484896665,0.0,4.285714285714286,67.0,2.64,0.088,0.348,3.08,7320,2681.8,3352.2
80970,三愛オブリ,卸売業,2451.0,6.235654169854629,2.0,3.427845958527296,68.5,2.86,0.088,0.101,3.05,1355,2254.9,2818.6
91040,商船三井,海運業,7025.0,6.445598614995339,2.0,7.240911147986122,69.7,3.26,0.694,-0.978,2.98,723,6463.0,8078.7
64120,平和,機械,2215.0,1.860877270713336,2.0,1.3248058474189128,63.7,2.08,0.385,0.506,2.97,1010,2037.8,2547.2
98690,加藤産業,卸売業,6710.0,5.2259887005649714,1.0,6.5625,70.1,3.14,0.088,-0.258,2.97,783,6173.2,7716.5
78400,フランスベッドホールディングス,その他製品,1300.0,6.609195402298851,1.0,2.2029897718332023,65.8,2.42,-0.298,0.798,2.92,1037,1196.0,1495.0
93030,住友倉庫,倉庫･運輸関連業,4145.0,3.267211201866978,2.0,2.7160493827160495,63.7,2.08,0.676,0.146,2.9,1010,3813.4,4766.8
84240,芙蓉総合リース,その他金融業,4498.0,3.5591766723842198,0.0,2.9830197338228546,65.2,2.24,-0.153,0.775,2.86,6347,4138.2,5172.7
28110,カゴメ,食料品,2736.5,8.078602620087336,0.0,5.136986301369863,67.0,2.64,-0.386,0.596,2.85,7320,2517.6,3147.0
90070,小田急電鉄,陸運業,1827.5,2.403204272363151,2.0,7.667450058754406,69.7,3.26,-0.641,0.236,2.85,723,1681.3,2101.6
87930,ＮＥＣキャピタルソリューション,その他金融業,4210.0,3.990877993158495,0.0,1.079136690647482,65.2,2.24,-0.153,0.753,2.84,6347,3873.2,4841.5
29330,紀文食品,食料品,1131.0,7.219031993437245,0.0,1.3501350135013501,65.2,2.24,-0.386,0.955,2.81,6347,1040.5,1300.6
29080,フジッコ,食料品,1625.0,3.6751630112625966,0.0,2.271293375394322,65.2,2.24,-0.386,0.933,2.79,6347,1495.0,1868.7
22110,不二家,食料品,2513.0,6.405959031657356,0.0,2.692778457772338,65.2,2.24,-0.386,0.91,2.76,6347,2312.0,2890.0
76830,ダブルエー,小売業,1412.0,3.4859876965140124,3.0,1.2958963282937366,62.1,2.65,-0.876,0.978,2.75,729,1299.0,1623.8
33930,スターティアホールディングス,卸売業,3115.0,1.1111111111111112,2.0,2.3333333333333335,63.7,2.08,0.088,0.573,2.74,1010,2865.8,3582.2
22880,丸大食品,食料品,2291.0,7.54640839386602,1.0,2.923976608187134,65.8,2.42,-0.386,0.685,2.72,1037,2107.7,2634.6
21170,ウェルネオシュガー,食料品,2820.0,7.540983606557377,0.0,1.2875536480686696,65.2,2.24,-0.386,0.82,2.67,6347,2594.4,3243.0
47920,山田コンサルティンググループ,サービス業,1775.0,6.628090478695424,0.0,3.5672514619883042,67.0,2.64,-0.686,0.708,2.66,7320,1633.0,2041.2
27520,フジオフードグループ本社,小売業,1146.0,4.0201005025125625,0.0,4.0650406504065035,67.0,2.64,-0.876,0.888,2.65,7320,1054.3,1317.9
99910,ジェコス,卸売業,1781.0,8.572895277207392,0.0,1.1286681715575622,65.2,2.24,0.088,0.326,2.65,6347,1638.5,2048.1
97440,メイテックグループホールディングス,サービス業,3400.0,8.5529854760624,0.0,3.086232980332829,67.0,2.64,-0.686,0.663,2.62,7320,3128.0,3910.0
17620,高松コンストラクショングループ,建設業,4085.0,7.579185520361991,0.0,3.535353535353535,67.0,2.64,0.536,-0.573,2.6,7320,3758.2,4697.8
79490,小松ウオール工業,その他製品,2813.0,8.071895424836601,0.0,1.9855595667870036,65.2,2.24,-0.298,0.64,2.58,6347,2588.0,3235.0
20020,日清製粉グループ本社,食料品,2057.0,6.436206504434843,2.0,3.2819492789656888,68.5,2.86,-0.386,0.079,2.55,1355,1892.4,2365.5
74590,メディパルホールディングス,卸売業,2923.5,5.936293436293436,1.0,4.294587400177463,66.9,2.6,0.088,-0.146,2.54,1558,2689.6,3362.0
99970,ベルーナ,小売業,1063.0,4.061371841155235,3.0,3.213242453748783,70.4,3.37,-0.876,0.034,2.53,1199,978.0,1222.4
79310,未来工業,化学,3670.0,7.904642409033877,0.0,3.4722222222222223,67.0,2.64,0.488,-0.618,2.51,7320,3376.4,4220.5
80740,ＹＵＡＳＡ,卸売業,6400.0,2.8831562974203337,1.0,7.023411371237458,70.1,3.14,0.088,-0.73,2.5,783,5888.0,7360.0
81600,木曽路,小売業,2458.0,7.9055826152116895,0.0,3.352891869237217,67.0,2.64,-0.876,0.73,2.49,7320,2261.4,2826.7
63450,アイチ　コーポレーション,機械,1443.0,3.024193548387097,2.0,2.5423728813559325,63.7,2.08,0.385,-0.011,2.45,1010,1327.6,1659.4
90450,京阪ホールディングス,陸運業,3265.0,9.204671857619577,0.0,5.503701319600901,67.0,2.64,-0.641,0.416,2.42,7320,3003.8,3754.7
74380,コンドーテック,卸売業,1731.0,0.9725400457665904,0.0,7.995003123048095,65.1,2.82,0.088,-0.483,2.42,2623,1592.5,1990.6
74210,カッパ・クリエイト,小売業,1639.0,3.531489111241907,0.0,3.1289910600255424,67.0,2.64,-0.876,0.618,2.38,7320,1507.9,1884.8
74760,アズワン,卸売業,2510.0,5.336601923439563,0.0,7.564457702961858,65.1,2.82,0.088,-0.528,2.38,2623,2309.2,2886.5
23310,ＡＬＳＯＫ,サービス業,1225.5,8.202247191011235,3.0,7.445887445887446,68.6,3.08,-0.686,-0.034,2.36,669,1127.5,1409.3
21530,Ｅ・Ｊホールディングス,サービス業,1853.0,4.336602994321115,0.0,3.8829487900956665,67.0,2.64,-0.686,0.393,2.35,7320,1704.8,2131.0
93320,ＮＩＳＳＯホールディングス,サービス業,671.0,8.333333333333332,0.0,3.3794162826420893,67.0,2.64,-0.686,0.371,2.33,7320,617.3,771.6
68100,マクセル,電気機器,2507.0,6.104868913857678,3.0,2.9350971475816454,62.1,2.65,0.662,-1.0,2.31,729,2306.4,2883.0
47140,リソー教育グループ,サービス業,212.0,7.423580786026202,0.0,4.411764705882353,67.0,2.64,-0.686,0.303,2.26,7320,195.0,243.8
90010,東武鉄道,陸運業,2975.0,8.065512978986403,1.0,1.8971116048538712,65.8,2.42,-0.641,0.483,2.26,1037,2737.0,3421.2
26590,サンエー,小売業,3425.0,1.721664275466284,2.0,3.474320241691843,68.5,2.86,-0.876,0.258,2.24,1355,3151.0,3938.7
45020,武田薬品工業,医薬品,5847.0,3.0830432620586774,2.0,4.0631235262107745,68.5,2.86,-0.508,-0.124,2.23,1355,5379.2,6724.0
81030,明和産業,卸売業,984.0,5.475504322766571,0.0,1.0351966873706004,65.2,2.24,0.088,-0.101,2.23,6347,905.3,1131.6
27920,ハニーズホールディングス,小売業,1452.0,8.96551724137931,0.0,1.1946591707659873,65.2,2.24,-0.876,0.843,2.21,6347,1335.8,1669.8
63330,ＴＥＩＫＯＫＵ,機械,3450.0,2.5423728813559325,1.0,6.0,66.9,2.6,0.385,-0.798,2.19,1558,3174.0,3967.5
79840,コクヨ,その他製品,899.5999755859375,7.7333358373397445,0.0,4.001384884640592,67.0,2.64,-0.298,-0.236,2.11,7320,827.6,1034.5
95110,沖縄電力,電気･ガス業,1191.0,2.055921052631579,1.0,4.378283712784588,66.9,2.6,0.0,-0.506,2.09,1558,1095.7,1369.6
69950,東海理化電機製作所,輸送用機器,3130.0,9.143686502177069,1.0,1.9543973941368076,65.8,2.42,0.336,-0.685,2.07,1037,2879.6,3599.5
32320,三重交通グループホールディングス,不動産業,603.0,4.739336492890995,3.0,7.9422382671480145,68.6,3.08,-0.148,-0.865,2.07,669,554.8,693.4
75160,コーナン商事,小売業,4530.0,1.735357917570499,3.0,6.0889929742388755,68.6,3.08,-0.876,-0.213,1.99,669,4167.6,5209.5
81500,三信電気,卸売業,3220.0,6.259097525473072,3.0,1.5822784810126582,62.1,2.65,0.088,-0.82,1.92,729,2962.4,3703.0
75750,日本ライフライン,卸売業,1552.0,5.6534954407294835,0.0,2.178217821782178,65.2,2.24,0.088,-0.438,1.89,6347,1427.8,1784.8
22670,ヤクルト本社,食料品,2853.0,7.729624838292367,1.0,1.637035733145573,65.8,2.42,-0.386,-0.169,1.86,1037,2624.8,3281.0
76160,コロワイド,小売業,2038.5,5.973247232472325,3.0,1.8703241895261846,62.1,2.65,-0.876,0.056,1.83,729,1875.4,2344.3
30500,ＤＣＭホールディングス,小売業,1610.0,7.789232531500573,0.0,2.4327784891165174,65.2,2.24,-0.876,0.461,1.83,6347,1481.2,1851.5
43240,電通グループ,サービス業,3633.0,6.220960247805885,3.0,4.72934472934473,70.4,3.37,-0.686,-0.888,1.8,1199,3342.4,4178.0
82780,フジ,小売業,2090.0,9.327548806941431,1.0,4.11910669975186,66.9,2.6,-0.876,-0.056,1.67,1558,1922.8,2403.5
81740,日本瓦斯,小売業,3081.0,2.7155036311967162,0.0,7.6413119330076755,65.1,2.82,-0.876,-0.281,1.66,2623,2834.5,3543.2
90310,西日本鉄道,陸運業,3128.0,5.183388905729009,1.0,4.237007613373056,66.9,2.6,-0.641,-0.326,1.63,1558,2877.8,3597.2
59750,東プレ,金属製品,3260.0,9.695290858725762,3.0,2.3510971786833856,62.1,2.65,-0.102,-0.933,1.62,729,2999.2,3749.0
75540,幸楽苑,小売業,1175.0,5.924739791833467,0.0,1.6622922134733158,65.2,2.24,-0.876,0.191,1.56,6347,1081.0,1351.2
94050,朝日放送グループホールディングス,情報･通信業,882.0,7.352941176470589,0.0,4.390243902439024,67.0,2.64,-1.444,0.281,1.48,7320,811.4,1014.3
82180,コメリ,小売業,3910.0,6.682577565632458,2.0,2.8758169934640523,63.7,2.08,-0.876,0.169,1.37,1010,3597.2,4496.5
99280,ミロク情報サービス,情報･通信業,2034.0,3.4646416706217367,3.0,3.3933161953727504,70.4,3.37,-1.444,-0.596,1.33,1199,1871.3,2339.1
99480,アークス,小売業,3750.0,7.063197026022305,0.0,4.993065187239944,67.0,2.64,-0.876,-0.461,1.3,7320,3450.0,4312.5
97460,ＴＫＣ,情報･通信業,4110.0,6.2713797035347785,0.0,4.0455120101137805,67.0,2.64,-1.444,0.011,1.21,7320,3781.2,4726.5
96210,建設技術研究所,サービス業,3225.0,9.79020979020979,0.0,1.4173228346456692,65.2,2.24,-0.686,-0.393,1.16,6347,2967.0,3708.7
96990,ニシオホールディングス,サービス業,4625.0,5.225409836065574,0.0,2.5442477876106198,65.2,2.24,-0.686,-0.416,1.14,6347,4255.0,5318.8
30310,ラクーンホールディングス,情報･通信業,682.0,9.549071618037134,0.0,3.076923076923077,67.0,2.64,-1.444,-0.079,1.12,7320,627.4,784.3
61840,鎌倉新書,サービス業,619.0,5.78386605783866,0.0,5.536332179930796,67.0,2.64,-0.686,-0.843,1.11,7320,569.5,711.8
78600,エイベックス,情報･通信業,1274.0,6.39235855988244,1.0,1.5175718849840254,65.8,2.42,-1.444,0.124,1.1,1037,1172.1,1465.1
37620,テクマトリックス,情報･通信業,2525.0,-0.7984031936127743,2.0,6.363636363636363,69.7,3.26,-1.444,-0.753,1.06,723,2323.0,2903.8
81940,ライフコーポレーション,小売業,2712.0,4.169611307420495,1.0,5.029013539651837,66.9,2.6,-0.876,-0.663,1.06,1558,2495.0,3118.8
24290,ワールドホールディングス,サービス業,2856.0,3.1207598371777476,2.0,2.1691973969631237,63.7,2.08,-0.686,-0.348,1.05,1010,2627.5,3284.4
47650,ＳＢＩグローバルアセットマネジメント,サービス業,627.0,4.5662100456621,0.0,1.461038961038961,65.2,2.24,-0.686,-0.551,1.0,6347,576.8,721.0
94680,ＫＡＤＯＫＡＷＡ,情報･通信業,3697.0,6.806150743634988,0.0,4.5131989781436275,67.0,2.64,-1.444,-0.64,0.56,7320,3401.2,4251.5
36570,ポールトゥウィンホールディングス,情報･通信業,378.0,-1.06951871657754,0.0,3.6931818181818183,67.0,2.64,-1.444,-0.708,0.49,7320,347.8,434.7
36360,三菱総合研究所,情報･通信業,4940.0,7.835820895522389,0.0,1.7543859649122806,65.2,2.24,-1.444,-0.371,0.43,6347,4544.8,5681.0
36490,ファインデックス,情報･通信業,915.0,9.495548961424333,0.0,5.932203389830509,67.0,2.64,-1.444,-0.91,0.29,7320,841.8,1052.2
96970,カプコン,情報･通信業,4351.0,3.052584670231729,1.0,5.292411793136781,66.9,2.6,-1.444,-0.955,0.2,1558,4002.9,5003.6
43260,インテージホールディングス,情報･通信業,1971.0,8.580705009276437,2.0,1.2371134020618557,63.7,2.08,-1.444,-0.775,-0.14,1010,1813.3,2266.6
