code,company_name,sector33_name,close,pct_below_52w_high,recent_breakout_count_120d,trailing_return_pct,expected_win_rate_pct,expected_return_pct,sector_adjustment_pct,tightness_bonus_pct,composite_score,expected_value_sample_size,stop_loss_price,take_profit_price
58320,ちゅうぎんフィナンシャルグループ,銀行業,3574.0,0.9972299168975068,3.0,7.283167119975824,69.5,3.21,2.592,-0.438,5.36,636,3288.1,4110.1
68090,ＴＯＡ,電気機器,1749.0,9.190031152647975,2.0,4.409063074096754,68.0,2.85,0.692,0.669,4.21,1280,1609.1,2011.4
72390,タチエス,輸送用機器,2368.0,0.8375209380234505,3.0,3.4255599472990776,70.6,3.41,0.342,0.289,4.04,1124,2178.6,2723.2
31090,シキボウ,繊維製品,1084.0,7.350427350427351,0.0,4.30622009569378,67.6,2.7,0.306,0.934,3.94,7089,997.3,1246.6
67180,アイホン,電気機器,2867.0,8.402555910543132,0.0,1.124780316344464,65.6,2.29,0.692,0.884,3.87,6155,2637.6,3297.0
73470,マーキュリアホールディングス,証券･商品先物取引業,809.0,9.304932735426009,0.0,3.8510911424903727,67.6,2.7,0.872,0.24,3.81,7089,744.3,930.4
40410,日本曹達,化学,4010.0,4.523809523809524,0.0,4.551365409622886,67.6,2.7,0.509,0.537,3.75,7089,3689.2,4611.5
77690,リズム,精密機器,4025.0,7.789232531500573,0.0,3.354838709677419,67.6,2.7,0.247,0.802,3.75,7089,3703.0,4628.8
40450,東亞合成,化学,1874.5,2.4967490247074124,0.0,3.4636871508379885,67.6,2.7,0.509,0.455,3.66,7089,1724.5,2155.7
18730,日本ハウスホールディングス,建設業,329.0,1.4970059880239521,0.0,4.761904761904762,67.6,2.7,0.509,0.388,3.6,7089,302.7,378.3
51920,三ツ星ベルト,ゴム製品,4450.0,4.198062432723358,3.0,7.047387606318348,69.5,3.21,0.396,-0.041,3.56,636,4094.0,5117.5
77510,キヤノン,電気機器,4675.0,7.1130538446254725,0.0,2.898550724637681,65.6,2.29,0.692,0.554,3.54,6155,4301.0,5376.2
32010,日本毛織,繊維製品,1976.0,6.483672503549457,0.0,3.0841610036591742,67.6,2.7,0.306,0.521,3.53,7089,1817.9,2272.4
26760,高千穂交易,卸売業,2093.0,4.863636363636363,1.0,1.3113161728994658,66.6,2.54,0.064,0.917,3.52,988,1925.6,2407.0
72410,フタバ産業,輸送用機器,1127.0,4.410517387616624,0.0,7.005758157389636,65.2,2.88,0.342,0.256,3.48,2544,1036.8,1296.0
76830,ダブルエー,小売業,1425.0,2.5974025974025974,3.0,3.953147877013177,70.6,3.41,-0.912,0.983,3.48,1124,1311.0,1638.7
40230,クレハ,化学,4540.0,7.44138634046891,0.0,6.572769953051644,65.2,2.88,0.509,0.041,3.43,2544,4176.8,5221.0
49120,ライオン,化学,1899.5,2.389516957862282,2.0,7.909765848086807,70.6,3.39,0.509,-0.554,3.34,686,1747.5,2184.4
73880,ＦＰパートナー,保険業,2361.0,6.085918854415275,0.0,4.233511586452763,67.6,2.7,0.015,0.603,3.32,7089,2172.1,2715.1
32840,フージャースホールディングス,不動産業,1337.0,5.177304964539007,0.0,5.454545454545454,67.6,2.7,-0.159,0.752,3.29,7089,1230.0,1537.6
80970,三愛オブリ,卸売業,2443.0,6.541698546289212,2.0,3.27520204168439,68.0,2.85,0.064,0.355,3.27,1280,2247.6,2809.4
95360,西部ガスホールディングス,電気･ガス業,2558.0,2.885345482156416,1.0,5.583543240973971,67.4,2.65,-0.04,0.653,3.26,1510,2353.4,2941.7
79470,エフピコ,化学,2809.0,1.6112084063047285,0.0,5.6761904761904765,67.6,2.7,0.509,-0.008,3.2,7089,2584.3,3230.4
62720,レオン自動機,機械,1572.0,5.301204819277109,0.0,2.154046997389034,65.6,2.29,0.401,0.504,3.2,6155,1446.2,1807.8
59330,アルインコ,金属製品,1139.0,5.398671096345515,0.0,2.697841726618705,65.6,2.29,-0.066,0.901,3.12,6155,1047.9,1309.8
40050,住友化学,化学,572.2000122070312,8.447998046875,2.0,7.544979330230999,70.6,3.39,0.509,-0.802,3.1,686,526.4,658.0
21530,Ｅ・Ｊホールディングス,サービス業,1886.0,2.632937532266391,0.0,6.488332384746727,65.2,2.88,-0.656,0.868,3.09,2544,1735.1,2168.9
81300,サンゲツ,卸売業,3220.0,4.451038575667656,0.0,2.5396825396825395,65.6,2.29,0.064,0.736,3.09,6155,2962.4,3703.0
69470,図研,電気機器,5140.0,3.925233644859813,0.0,6.474820143884892,65.2,2.88,0.692,-0.488,3.08,2544,4728.8,5911.0
59590,岡部,金属製品,963.0,9.831460674157304,0.0,2.6115342763873777,65.6,2.29,-0.066,0.835,3.06,6155,886.0,1107.4
18600,戸田建設,建設業,1533.5,7.897897897897897,1.0,2.0504201680672267,66.6,2.54,0.509,0.008,3.06,988,1410.8,1763.5
72400,ＮＯＫ,輸送用機器,3085.0,8.047690014903129,0.0,1.3967409378117726,65.6,2.29,0.342,0.372,3.0,6155,2838.2,3547.7
87930,ＮＥＣキャピタルソリューション,その他金融業,4255.0,2.9646522234891677,0.0,1.5476190476190477,65.6,2.29,-0.102,0.769,2.96,6155,3914.6,4893.2
80520,椿本興業,卸売業,2936.0,6.645468998410174,0.0,1.9757365684575388,65.6,2.29,0.064,0.587,2.94,6155,2701.1,3376.4
67500,エレコム,電気機器,2020.0,-0.34773969200198707,1.0,4.968619246861924,67.4,2.65,0.692,-0.421,2.92,1510,1858.4,2323.0
59570,日東精工,金属製品,784.0,3.9215686274509802,0.0,1.1703511053315996,65.6,2.29,-0.066,0.686,2.91,6155,721.3,901.6
39410,レンゴー,パルプ・紙,1630.0,2.1021021021021022,2.0,3.5867061533399145,68.0,2.85,0.52,-0.471,2.9,1280,1499.6,1874.5
79140,共同印刷,その他製品,1769.0,0.5061867266591676,3.0,6.622114216281895,69.5,3.21,-0.306,-0.025,2.88,636,1627.5,2034.4
81030,明和産業,卸売業,985.0,5.379442843419788,0.0,6.528835690968444,65.2,2.88,0.064,-0.107,2.84,2544,906.2,1132.8
59320,三協立山,金属製品,673.0,8.559782608695652,0.0,1.82648401826484,65.6,2.29,-0.066,0.62,2.84,6155,619.2,773.9
66300,ヤーマン,電気機器,805.0,4.62085308056872,1.0,5.256241787122208,67.4,2.65,0.692,-0.504,2.84,1510,740.6,925.7
27340,サーラコーポレーション,小売業,1227.0,1.4457831325301205,3.0,5.821917808219178,70.6,3.41,-0.912,0.339,2.84,1124,1128.8,1411.0
45380,扶桑薬品工業,医薬品,2289.0,9.525691699604744,0.0,3.2808988764044944,67.6,2.7,-0.498,0.636,2.84,7089,2105.9,2632.4
63010,小松製作所,機械,7438.0,5.127551020408163,0.0,6.363764639480738,65.2,2.88,0.401,-0.455,2.83,2544,6843.0,8553.7
25940,キーコーヒー,食料品,2038.0,1.9249278152069296,0.0,1.636904761904762,65.6,2.29,-0.429,0.967,2.83,6155,1875.0,2343.7
75250,リックス,卸売業,3640.0,8.542713567839195,0.0,1.394700139470014,65.6,2.29,0.064,0.471,2.82,6155,3348.8,4186.0
64120,平和,機械,2220.0,1.639344262295082,2.0,2.89123451124369,64.4,2.11,0.401,0.306,2.82,969,2042.4,2553.0
72420,カヤバ,輸送用機器,4795.0,9.868421052631579,0.0,5.111111111111112,67.6,2.7,0.342,-0.256,2.79,7089,4411.4,5514.2
65010,日立製作所,電気機器,5438.0,9.95197880443782,0.0,5.613701236917222,67.6,2.7,0.692,-0.62,2.77,7089,5003.0,6253.7
99910,ジェコス,卸売業,1763.0,9.496919917864478,0.0,2.657423454650491,65.6,2.29,0.064,0.405,2.76,6155,1622.0,2027.4
61510,日東工器,機械,1746.0,10.0,0.0,2.326934264107039,65.6,2.29,0.401,0.058,2.75,6155,1606.3,2007.9
46330,サカタインクス,化学,2687.0,1.9343065693430657,0.0,6.825396825396825,65.2,2.88,0.509,-0.636,2.75,2544,2472.0,3090.0
29330,紀文食品,食料品,1137.0,7.107843137254902,0.0,2.710027100271003,65.6,2.29,-0.429,0.851,2.71,6155,1046.0,1307.6
22110,不二家,食料品,2520.0,6.145251396648044,0.0,1.166532582461786,65.6,2.29,-0.429,0.818,2.68,6155,2318.4,2898.0
79890,立川ブラインド工業,金属製品,2700.0,1.5676266861100983,3.0,1.3816280806572068,61.6,2.58,-0.066,0.157,2.67,706,2484.0,3105.0
13790,ホクト,水産・農林業,2179.0,-2.01310861423221,2.0,5.378486055776892,68.0,2.85,-0.025,-0.19,2.64,1280,2004.7,2505.8
60890,ウィルグループ,サービス業,1205.0,8.642911296436695,0.0,7.414104882459313,65.2,2.88,-0.656,0.421,2.64,2544,1108.6,1385.8
47920,山田コンサルティンググループ,サービス業,1811.0,4.734350341925302,0.0,5.597667638483965,67.6,2.7,-0.656,0.57,2.61,7089,1666.1,2082.6
74380,コンドーテック,卸売業,1697.0,2.917620137299771,0.0,5.83804143126177,67.6,2.7,0.064,-0.157,2.61,7089,1561.2,1951.6
63710,椿本チエイン,機械,2718.0,3.342816500711238,2.0,2.4205748865355523,64.4,2.11,0.401,0.091,2.6,969,2500.6,3125.7
29080,フジッコ,食料品,1632.0,3.260225251926497,0.0,2.376485303314572,65.6,2.29,-0.429,0.719,2.58,6155,1501.4,1876.8
31540,メディアスホールディングス,卸売業,802.0,9.276018099547512,0.0,1.1378002528445006,65.6,2.29,0.064,0.223,2.58,6155,737.8,922.3
65390,ＭＳ−Ｊａｐａｎ,サービス業,1015.0,6.537753222836096,0.0,1.4955134596211366,65.6,2.29,-0.656,0.95,2.58,6155,933.8,1167.2
75540,幸楽苑,小売業,1214.0,2.8022417934347477,0.0,3.4482758620689653,67.6,2.7,-0.912,0.702,2.49,7089,1116.9,1396.1
95030,関西電力,電気･ガス業,2810.5,0.5484784147204529,0.0,6.610895735564171,65.2,2.88,-0.04,-0.355,2.48,2544,2585.7,3232.1
78640,フジシールインターナショナル,その他製品,3330.0,4.310344827586207,0.0,6.570512820512821,65.2,2.88,-0.306,-0.091,2.48,2544,3063.6,3829.5
64320,竹内製作所,機械,7620.0,4.150943396226415,2.0,3.6635006784260513,68.0,2.85,0.401,-0.785,2.47,1280,7010.4,8763.0
67880,日本トリム,電気機器,4940.0,4.8169556840077075,0.0,2.705515088449532,65.6,2.29,0.692,-0.537,2.45,6155,4544.8,5681.0
72440,市光工業,電気機器,567.0,5.183946488294314,1.0,4.664179104477612,67.4,2.65,0.692,-0.901,2.44,1510,521.6,652.0
79550,クリナップ,その他製品,997.0,9.692028985507246,0.0,6.08324439701174,65.2,2.88,-0.306,-0.14,2.43,2544,917.2,1146.6
47140,リソー教育グループ,サービス業,210.0,8.296943231441048,0.0,2.9268292682926833,65.6,2.29,-0.656,0.785,2.42,6155,193.2,241.5
82530,クレディセゾン,その他金融業,4671.0,5.445344129554655,0.0,3.5371179039301306,67.6,2.7,-0.102,-0.207,2.39,7089,4297.3,5371.6
92010,日本航空,空運業,3012.0,7.946210268948656,0.0,2.803424542554977,65.6,2.29,-0.359,0.438,2.37,6155,2771.0,3463.8
64600,セガサミーホールディングス,機械,3102.0,4.7589806570463615,0.0,6.8888507129359215,65.2,2.88,0.401,-0.934,2.35,2544,2853.8,3567.3
71990,プレミアグループ,その他金融業,2104.0,9.583154275891706,0.0,5.012165450121654,67.6,2.7,-0.102,-0.306,2.29,7089,1935.7,2419.6
60700,キャリアリンク,サービス業,2629.0,6.607460035523979,0.0,7.564422277639235,65.2,2.88,-0.656,0.025,2.25,2544,2418.7,3023.4
93100,日本トランスシティ,倉庫･運輸関連業,1436.0,2.9073698444895197,1.0,2.375809935205184,66.6,2.54,0.672,-0.967,2.24,988,1321.1,1651.4
63330,ＴＥＩＫＯＫＵ,機械,3445.0,2.6836158192090394,1.0,3.0349013657056148,67.4,2.65,0.401,-0.917,2.13,1510,3169.4,3961.7
45430,テルモ,精密機器,2516.0,7.0901033973412115,0.0,5.1128130821776026,67.6,2.7,0.247,-0.818,2.13,7089,2314.7,2893.4
75930,ＶＴホールディングス,小売業,538.0,6.434782608695652,0.0,6.800000000000001,65.2,2.88,-0.912,0.14,2.11,2544,495.0,618.7
79840,コクヨ,その他製品,922.2000122070312,5.415383363381411,0.0,1.0564946475793335,65.6,2.29,-0.306,0.107,2.09,6155,848.4,1060.5
30280,アルペン,小売業,2387.0,2.967479674796748,0.0,4.111986001749781,67.6,2.7,-0.912,0.207,2.0,7089,2196.0,2745.0
54820,愛知製鋼,鉄鋼,3270.0,6.970128022759601,0.0,1.4128728414442702,65.6,2.29,0.469,-0.769,1.99,6155,3008.4,3760.5
24290,ワールドホールディングス,サービス業,2895.0,0.2068252326783868,0.0,5.510355029585798,67.6,2.7,-0.656,-0.074,1.97,7089,2663.4,3329.2
75160,コーナン商事,小売業,4490.0,2.6030368763557483,3.0,2.1965317919075145,61.6,2.58,-0.912,0.273,1.94,706,4130.8,5163.5
79120,大日本印刷,その他製品,3101.0,7.818073721759809,2.0,5.275697753573859,68.0,2.85,-0.306,-0.653,1.89,1280,2852.9,3566.2
80220,美津濃,その他製品,4075.0,8.632286995515695,1.0,7.5,70.5,3.18,-0.306,-1.0,1.87,767,3749.0,4686.2
