code,company_name,sector33_name,close,pct_below_52w_high,recent_breakout_count_120d,trailing_return_pct,expected_win_rate_pct,expected_return_pct,sector_adjustment_pct,tightness_bonus_pct,composite_score,expected_value_sample_size,stop_loss_price,take_profit_price
83380,筑波銀行,銀行業,739.0,7.509386733416772,2.0,4.378531073446328,67.8,2.75,2.606,-1.0,4.36,1392,679.9,849.8
73470,マーキュリアホールディングス,証券･商品先物取引業,806.0,9.641255605381167,0.0,3.6222509702457955,66.8,2.62,0.892,0.732,4.24,7391,741.5,926.9
93240,安田倉庫,倉庫･運輸関連業,2684.0,2.6478055857816467,3.0,4.642166344294004,70.6,3.36,0.682,-0.196,3.85,1217,2469.3,3086.6
33930,スターティアホールディングス,卸売業,3260.0,-1.875,3.0,5.960264900662252,70.6,3.36,0.093,0.357,3.81,1217,2999.2,3749.0
68090,ＴＯＡ,電気機器,1762.0,8.515057113187954,1.0,4.396248534583822,66.9,2.57,0.667,0.214,3.45,1588,1621.0,2026.3
17210,コムシスホールディングス,建設業,5868.0,5.522460151344389,3.0,7.43770211147042,68.6,3.07,0.549,-0.179,3.44,682,5398.6,6748.2
93030,住友倉庫,倉庫･運輸関連業,4165.0,2.8004667444574096,1.0,2.93040293040293,65.5,2.39,0.682,0.321,3.39,1050,3831.8,4789.8
63450,アイチ　コーポレーション,機械,1461.0,1.8145161290322582,2.0,4.184397163120567,67.8,2.75,0.386,0.232,3.37,1392,1344.1,1680.2
73880,ＦＰパートナー,保険業,2360.0,6.125696101829754,0.0,4.231625835189309,66.8,2.62,0.03,0.643,3.29,7391,2171.2,2714.0
90810,神奈川中央交通,陸運業,4065.0,0.7326007326007326,3.0,3.324808184143223,70.6,3.36,-0.63,0.536,3.27,1217,3739.8,4674.8
79470,エフピコ,化学,2840.0,1.8998272884283247,2.0,3.7960954446854664,67.8,2.75,0.47,0.054,3.27,1392,2612.8,3266.0
63710,椿本チエイン,機械,2718.0,3.342816500711238,2.0,3.735849056603774,67.8,2.75,0.386,0.125,3.26,1392,2500.6,3125.7
84240,芙蓉総合リース,その他金融業,4527.0,2.937392795883362,0.0,5.124080882352941,66.8,2.62,-0.16,0.786,3.25,7391,4164.8,5206.0
