code,company_name,sector33_name,close,pct_below_52w_high,recent_breakout_count_120d,trailing_return_pct,expected_win_rate_pct,expected_return_pct,sector_adjustment_pct,tightness_bonus_pct,composite_score,expected_value_sample_size,stop_loss_price,take_profit_price
58320,ちゅうぎんフィナンシャルグループ,銀行業,3550.0,1.662049861495845,3.0,5.816419266888822,70.5,3.38,2.592,-0.683,5.29,1111,3266.0,4082.5
53020,日本カーボン,ガラス･土石製品,5190.0,-0.5813953488372093,2.0,6.808510638297872,70.4,3.37,1.08,-0.2,4.25,680,4774.8,5968.5
72390,タチエス,輸送用機器,2355.0,1.3819095477386936,3.0,4.835847382431234,70.5,3.38,0.342,0.333,4.06,1111,2166.6,2708.2
31090,シキボウ,繊維製品,1090.0,6.837606837606838,0.0,4.0913415794481445,67.5,2.7,0.306,0.95,3.96,7066,1002.8,1253.5
40410,日本曹達,化学,4020.0,4.285714285714286,0.0,3.24254215304799,67.5,2.7,0.504,0.7,3.9,7066,3698.4,4623.0
40450,東亞合成,化学,1852.0,3.6671001300390116,0.0,3.648008911166806,67.5,2.7,0.504,0.55,3.75,7066,1703.8,2129.8
18730,日本ハウスホールディングス,建設業,330.0,1.1976047904191618,0.0,5.095541401273886,67.5,2.7,0.514,0.483,3.7,7066,303.6,379.5
63090,巴工業,機械,2070.0,7.548012505582849,0.0,7.70440251572327,65.2,2.88,0.405,0.35,3.64,2537,1904.4,2380.5
32010,日本毛織,繊維製品,1972.0,6.6729768102224325,0.0,3.3560566334556894,67.5,2.7,0.306,0.583,3.59,7066,1814.2,2267.8
51920,三ツ星ベルト,ゴム製品,4405.0,5.166846071044134,3.0,6.265060240963856,69.4,3.2,0.398,-0.067,3.53,634,4052.6,5065.8
72410,フタバ産業,輸送用機器,1115.0,5.4283290924512295,0.0,7.032755298651253,65.2,2.88,0.342,0.217,3.44,2537,1025.8,1282.2
73470,マーキュリアホールディングス,証券･商品先物取引業,809.0,9.304932735426009,0.0,2.9601029601029603,65.5,2.29,0.872,0.267,3.43,6149,744.3,930.4
77690,リズム,精密機器,4005.0,8.24742268041237,0.0,2.570694087403599,65.5,2.29,0.25,0.883,3.42,6149,3684.6,4605.8
32840,フージャースホールディングス,不動産業,1334.0,5.390070921985815,0.0,4.412923561859732,67.5,2.7,-0.162,0.85,3.39,7066,1227.3,1534.1
95360,西部ガスホールディングス,電気･ガス業,2515.0,4.51784358390281,1.0,5.149852258336852,67.3,2.65,-0.04,0.767,3.38,1506,2313.8,2892.2
40230,クレハ,化学,4540.0,7.44138634046891,0.0,5.1582649472450175,67.5,2.7,0.504,0.167,3.37,7066,4176.8,5221.0
77510,キヤノン,電気機器,4686.0,6.894496324259884,0.0,1.1650485436893203,65.5,2.29,0.692,0.383,3.36,6149,4311.1,5388.9
73880,ＦＰパートナー,保険業,2339.0,6.961018297533811,0.0,6.928406466512701,65.2,2.88,0.015,0.45,3.34,2537,2151.9,2689.8
80980,稲畑産業,卸売業,4365.0,0.5694760820045558,0.0,6.832298136645963,65.2,2.88,0.064,0.4,3.34,2537,4015.8,5019.8
79470,エフピコ,化学,2774.0,2.8371278458844134,0.0,5.937972768532526,67.5,2.7,0.504,0.117,3.32,7066,2552.1,3190.1
62720,レオン自動機,機械,1565.0,5.72289156626506,0.0,2.28310502283105,65.5,2.29,0.405,0.6,3.3,6149,1439.8,1799.7
61510,日東工器,機械,1759.0,9.329896907216495,0.0,3.263403263403263,67.5,2.7,0.405,0.15,3.26,7066,1618.3,2022.8
59320,三協立山,金属製品,669.0,9.103260869565217,0.0,3.076923076923077,67.5,2.7,-0.069,0.617,3.25,7066,615.5,769.3
49120,ライオン,化学,1889.5,2.9033915724563206,2.0,6.450704225352112,70.4,3.37,0.504,-0.633,3.24,680,1738.3,2172.9
31540,メディアスホールディングス,卸売業,800.0,9.502262443438914,0.0,3.4220532319391634,67.5,2.7,0.064,0.467,3.23,7066,736.0,920.0
17620,高松コンストラクショングループ,建設業,4100.0,7.239819004524888,0.0,7.35873850197109,65.2,2.88,0.514,-0.167,3.23,2537,3772.0,4715.0
59110,横河ブリッジホールディングス,金属製品,2990.0,8.422664624808576,0.0,1.0691613765452723,65.5,2.29,-0.069,0.967,3.19,6149,2750.8,3438.5
81300,サンゲツ,卸売業,3230.0,4.154302670623145,0.0,2.066772655007949,65.5,2.29,0.064,0.817,3.17,6149,2971.6,3714.5
79140,共同印刷,その他製品,1755.0,1.2935883014623173,3.0,5.196374622356496,70.5,3.38,-0.31,0.1,3.17,1111,1614.6,2018.2
59330,アルインコ,金属製品,1142.0,5.149501661129568,0.0,2.7002700270027002,65.5,2.29,-0.069,0.917,3.14,6149,1050.6,1313.3
13790,ホクト,水産・農林業,2116.0,0.9363295880149813,2.0,6.636500754147813,70.4,3.37,-0.025,-0.233,3.11,680,1946.7,2433.4
32320,三重交通グループホールディングス,不動産業,623.0,-0.8090614886731391,1.0,7.355516637478108,70.8,3.21,-0.162,0.05,3.1,763,573.2,716.4
18600,戸田建設,建設業,1518.0,8.82882882882883,1.0,1.196808510638298,66.6,2.53,0.514,0.017,3.06,985,1396.6,1745.7
72400,ＮＯＫ,輸送用機器,3049.0,9.120715350223547,0.0,1.257861635220126,65.5,2.29,0.342,0.433,3.06,6149,2805.1,3506.4
87930,ＮＥＣキャピタルソリューション,その他金融業,4265.0,2.7366020524515395,0.0,1.5457788347205708,65.5,2.29,-0.094,0.833,3.03,6149,3923.8,4904.8
80520,椿本興業,卸売業,2942.0,6.454689984101749,0.0,1.418194396402629,65.5,2.29,0.064,0.667,3.02,6149,2706.6,3383.3
75250,リックス,卸売業,3635.0,8.668341708542714,0.0,2.6499302649930265,65.5,2.29,0.064,0.633,2.99,6149,3344.2,4180.2
21530,Ｅ・Ｊホールディングス,サービス業,1871.0,3.4073309241094476,0.0,4.946599213041035,67.5,2.7,-0.655,0.933,2.98,7066,1721.3,2151.6
74380,コンドーテック,卸売業,1686.0,3.5469107551487413,0.0,7.031736154324829,65.2,2.88,0.064,0.033,2.98,2537,1551.1,1938.9
99910,ジェコス,卸売業,1777.0,8.7782340862423,0.0,5.6537102473498235,67.5,2.7,0.064,0.183,2.95,7066,1634.8,2043.6
95340,北海道瓦斯,電気･ガス業,845.0,9.13978494623656,2.0,5.562579013906448,67.9,2.85,-0.04,0.133,2.94,1279,777.4,971.7
75160,コーナン商事,小売業,4420.0,4.121475054229935,3.0,3.2,70.5,3.38,-0.916,0.417,2.88,1111,4066.4,5083.0
39410,レンゴー,パルプ・紙,1574.0,5.465465465465465,2.0,3.779732811990877,67.9,2.85,0.522,-0.5,2.87,1279,1448.1,1810.1
66300,ヤーマン,電気機器,801.0,5.0947867298578196,1.0,3.3810143042912877,67.3,2.65,0.692,-0.467,2.87,1506,736.9,921.2
64120,平和,機械,2242.0,0.664599025254763,2.0,2.436781609195402,64.4,2.11,0.405,0.317,2.83,969,2062.6,2578.3
79490,小松ウオール工業,その他製品,2848.0,6.928104575163399,0.0,2.3664395840803154,65.5,2.29,-0.31,0.8,2.78,6149,2620.2,3275.2
29330,紀文食品,食料品,1137.0,7.107843137254902,0.0,1.7009847806624887,65.5,2.29,-0.433,0.9,2.76,6149,1046.0,1307.6
27340,サーラコーポレーション,小売業,1236.0,0.7228915662650602,3.0,5.349439171699741,70.5,3.38,-0.916,0.25,2.71,1111,1137.1,1421.4
63330,ＴＥＩＫＯＫＵ,機械,3395.0,4.096045197740112,1.0,6.0278207109737245,70.8,3.21,0.405,-0.917,2.7,763,3123.4,3904.2
67880,日本トリム,電気機器,4935.0,4.913294797687861,0.0,3.7735849056603774,67.5,2.7,0.692,-0.717,2.68,7066,4540.2,5675.2
81030,明和産業,卸売業,979.0,5.95581171950048,0.0,5.399568034557236,67.5,2.7,0.064,-0.117,2.65,7066,900.7,1125.8
