bin_range,n,win_rate_pct,avg_return_pct
"(0.0435, 1.512]",21355,59.7,1.31
"(1.512, 1.881]",21354,62.3,2.39
"(1.881, 2.282]",21354,59.8,2.43
"(2.282, 2.891]",21354,54.7,1.81
"(2.891, 16.226]",21355,45.4,0.92
