label,n,take_profit_pct,stop_loss_pct,timeout_win_pct,timeout_loss_pct,win_rate_pct,avg_return_pct,median_return_pct
フィルターなし(全コホート),106772,14.9,24.9,41.5,18.7,56.4,1.77,1.21
ルール適用後,22362,9.6,12.8,57.1,20.6,66.7,2.64,2.47
