code,company_name,sector33_name,close,pct_below_52w_high,recent_breakout_count_120d,trailing_return_pct,expected_win_rate_pct,expected_return_pct,expected_value_sample_size,stop_loss_price,take_profit_price
81600,木曽路,小売業,2432.0,8.879730236043462,0.0,4.770017035775128,67.6,2.75,6546,2237.4,2796.8
76300,壱番屋,小売業,935.0,7.425742574257425,0.0,5.656108597285068,67.6,2.75,6546,860.2,1075.2
68200,アイコム,電気機器,3280.0,8.762169680111267,0.0,3.7914691943127963,67.6,2.75,6546,3017.6,3772.0
29220,なとり,食料品,1954.0,4.3095004897159646,1.0,1.3367609254498714,66.7,2.74,957,1797.7,2247.1
88970,ＭＩＲＡＲＴＨホールディングス,不動産業,404.0,7.551487414187644,1.0,1.2315270935960592,66.7,2.74,957,371.7,464.6
25935,伊藤園（優先株式）,食料品,1784.0,6.6457352171637885,1.0,1.5332197614991483,66.7,2.74,957,1641.3,2051.6
26590,サンエー,小売業,3255.0,6.599713055954089,2.0,1.244167962674961,64.8,2.13,837,2994.6,3743.2
18730,日本ハウスホールディングス,建設業,308.0,8.333333333333332,0.0,2.31023102310231,64.6,2.12,5730,283.4,354.2
33020,帝国繊維,繊維製品,3415.0,9.536423841059603,0.0,2.0895522388059704,64.6,2.12,5730,3141.8,3927.2
24750,ＷＤＢホールディングス,サービス業,1789.0,4.840425531914894,0.0,2.0821609454136185,64.6,2.12,5730,1645.9,2057.4
98500,グルメ杵屋,小売業,973.0,5.899419729206963,0.0,1.6632016632016633,64.6,2.12,5730,895.2,1118.9
48010,セントラルスポーツ,サービス業,2418.0,7.709923664122137,0.0,1.545530492898914,64.6,2.12,5730,2224.6,2780.7
64650,ホシザキ,機械,5643.0,8.45230369889682,0.0,2.978877053619787,64.6,2.12,5730,5191.6,6489.4
29330,紀文食品,食料品,1105.0,9.722222222222223,0.0,2.2556390977443606,64.6,2.12,5730,1016.6,1270.8
31480,クリエイトＳＤホールディングス,小売業,3300.0,8.205841446453407,0.0,2.3041474654377883,64.6,2.12,5730,3036.0,3795.0
42180,ニチバン,化学,1934.0,5.009823182711198,0.0,2.7440633245382586,64.6,2.12,5730,1779.3,2224.1
25940,キーコーヒー,食料品,1977.0,4.860442733397498,0.0,1.1116725618999495,64.6,2.12,5730,1818.8,2273.5
99900,サックスバー　ホールディングス,小売業,770.0,9.624413145539906,0.0,2.519893899204244,64.6,2.12,5730,708.4,885.5
90520,山陽電気鉄道,陸運業,1981.0,9.954545454545455,0.0,2.29826353421859,64.6,2.12,5730,1822.5,2278.1
90390,サカイ引越センター,陸運業,2928.0,5.548387096774193,0.0,1.7429938482570062,64.6,2.12,5730,2693.8,3367.2
81940,ライフコーポレーション,小売業,2533.0,9.729151817533856,0.0,1.2539184952978055,64.6,2.12,5730,2330.4,2913.0
59020,ホッカンホールディングス,金属製品,2365.0,6.632451638373469,3.0,1.1016949152542372,57.7,1.79,641,2175.8,2719.8
26130,Ｊ−オイルミルズ,食料品,2052.0,4.779582366589327,3.0,1.0169491525423728,57.7,1.79,641,1887.8,2359.8
78400,フランスベッドホールディングス,その他製品,1254.0,9.913793103448276,3.0,2.00160128102482,57.7,1.79,641,1153.7,1442.1
90370,ハマキョウレックス,陸運業,1815.0,7.633587786259542,3.0,1.8878400888395337,57.7,1.79,641,1669.8,2087.2
