code,date,close,trailing_return_pct,volume_ratio_vs_avg,pct_below_52w_high,pct_vs_ma25,pct_vs_ma75,pct_vs_ma200,ma25_above_ma75,rsi14,is_52w_high_break,trade_outcome,days_to_outcome,outcome_return_pct
14290,2025-11-04,943.0,5.292792792792793,1.9313546209030805,0.5274261603375527,3.6036036036035988,6.582576065825761,17.05851684500608,1,71.91780821917808,True,stop_loss,4.0,-7.999999999999993
17730,2025-11-04,92.0,-5.154639175257731,4.067796610169491,5.154639175257731,-0.3897791251624073,2.1012133767386776,19.721517340100203,1,46.666666666666664,False,stop_loss,16.0,-7.999999999999999
19520,2025-11-04,3090.0,7.192494788047254,1.1466341646352898,9.117647058823529,3.229858484893023,4.3430104815761945,31.30079141658257,1,69.47935368043088,False,stop_loss,10.0,-7.999999999999995
19750,2025-11-04,3210.0,5.892255892255893,0.8799682485683507,2.1341463414634148,4.561622952742054,7.613155847987195,29.938208512369417,1,64.32664756446991,False,stop_loss,9.0,-7.999999999999992
19800,2025-11-04,6900.0,16.101694915254235,1.7292340633509438,0.8620689655172413,7.336195631883522,18.38989739542226,48.807116862110796,1,70.43010752688173,True,stop_loss,1.0,-8.0
21300,2025-11-04,1203.0,2.0202020202020203,5.404696886947024,9.820089955022489,-2.4457491323104934,-3.266789604597316,1.600010134664347,0,52.42424242424242,False,stop_loss,12.0,-8.0
23170,2025-11-04,533.0,8.811475409836065,1.574427129626221,3.963963963963964,5.385953812084785,9.878782881174244,28.841993304084024,1,69.23076923076923,False,stop_loss,11.0,-7.999999999999997
23260,2025-11-04,7530.0,8.633093525179856,0.7908559902508719,9.057971014492754,0.6523017697695582,-1.7347577951002235,6.550070042874724,0,56.666666666666664,False,stop_loss,10.0,-7.999999999999995
23710,2025-11-04,2756.0,13.783112582781456,1.248762024298644,7.439126784214946,5.911197534375031,2.802576281302062,9.345987208582626,0,76.97947214076247,False,stop_loss,2.0,-8.0
27370,2025-11-04,10020.0,39.85185185185185,3.08237378210806,-2.9804727646454263,33.47186700767264,50.29699406011879,62.68082411962398,1,90.29649595687331,True,stop_loss,1.0,-8.000000000000004
285A0,2025-11-04,10760.0,100.09242144177448,1.39147810243936,3.1503150315031503,48.21753264642679,145.43049177336457,257.7430932475991,1,85.20710059171597,True,stop_loss,1.0,-7.999999999999993
29820,2025-11-04,468.0,1.4957264957264957,0.8833809506140774,9.826589595375722,-0.5778382053025211,8.053195419283337,44.68335059434561,1,56.48854961832061,False,stop_loss,12.0,-8.0
31040,2025-11-04,7130.0,6.046511627906977,2.166164658634538,-0.9915014164305949,6.526026414868825,11.096106702123237,27.553758631793617,1,69.8224852071006,True,stop_loss,11.0,-7.999999999999995
31100,2025-11-04,8630.0,19.863013698630137,1.488911007324605,1.3714285714285714,13.171422576584133,28.226717118687723,53.668091168091166,1,70.41420118343196,True,stop_loss,1.0,-7.9999999999999964
31760,2025-11-04,1613.0,1.9243104554201411,1.7998187232940568,3.643966547192354,1.9827520801193634,2.8401652583436734,8.058135678947426,1,63.77952755905512,False,stop_loss,11.0,-7.999999999999997
34010,2025-11-04,1339.0,7.444267515923567,1.7122302864349472,4.62962962962963,1.3089203298781837,3.4322939464943274,6.453600461113426,1,62.254901960784316,False,stop_loss,1.0,-7.999999999999992
34310,2025-11-04,2033.0,0.8664627930682977,2.4531309297912713,5.748725081131201,1.666266602656422,0.6329364555558472,6.424746240060307,0,64.55223880597015,False,stop_loss,18.0,-7.999999999999993
34330,2025-11-04,2320.0,4.570637119113574,1.8775391758560651,-0.34602076124567477,4.674246525897848,9.406438631790746,22.416781652257196,1,74.67362924281984,True,stop_loss,3.0,-7.9999999999999964
34360,2025-11-04,1611.5,-2.2008679479231246,1.1440859589297885,9.972067039106145,-2.23853433632614,15.567762940864297,35.54409409611476,1,48.71567759078831,False,stop_loss,1.0,-7.99999999999999
39630,2025-11-04,620.0,4.326123128119801,0.8630912275973589,6.906906906906906,0.49925436037088133,3.568087665374852,16.54683020818647,1,57.837837837837846,False,stop_loss,13.0,-8.000000000000004
40470,2025-11-04,1037.0,11.563169164882227,0.8334564176144156,5.0366300366300365,2.389415481832548,12.743534732691641,16.345603662025564,1,61.29032258064516,False,stop_loss,5.0,-7.999999999999993
40620,2025-11-04,14355.0,59.65698055494866,8.048770553013536,5.465920316101416,35.12877475713532,72.98265232836698,136.23232885909903,1,81.40524221215864,True,stop_loss,1.0,-7.999999999999997
40920,2025-11-04,2915.0,0.5382131324004306,2.1415810629745424,1.752612066059993,2.536864025213864,9.130797222624334,24.28186188298746,1,65.51724137931035,False,stop_loss,6.0,-7.999999999999993
41820,2025-11-04,2859.5,4.709547370350009,1.3469461769754016,4.428475935828876,1.562777481797194,6.220561358672235,15.691244565910026,1,63.09362279511534,False,stop_loss,5.0,-7.999999999999992
41890,2025-11-04,2765.0,2.52694165737644,1.9126799814212727,9.344262295081968,0.5673965228777155,-0.14109058689832152,8.548647656585844,0,60.889929742388766,False,stop_loss,1.0,-7.999999999999993
42020,2025-11-04,1326.5,-0.11278195488721805,1.2047190629774231,6.551602676998944,-1.6970505409811834,-1.4482488769137047,2.5234764462650303,1,54.30809399477807,False,stop_loss,3.0,-7.999999999999992
43680,2025-11-04,5670.0,3.8539553752535496,4.672747908697297,-7.79467680608365,13.264083100279663,20.711923584597702,42.427062649068006,1,72.87581699346406,True,stop_loss,1.0,-7.99999999999999
44810,2025-11-04,3445.0,2.635431918008785,1.2046962736089841,9.81675392670157,-1.5882991487173603,-2.9212849896674764,4.603145685310011,0,53.6231884057971,False,stop_loss,9.0,-7.999999999999997
44830,2025-11-04,4890.0,11.668185961713764,1.0933230516487016,0.6703229737964655,4.283069888850031,11.568437768083669,30.329969363128882,1,71.35523613963039,True,stop_loss,3.0,-7.9999999999999964
45440,2025-11-04,3902.0,8.108108108108109,0.9195519521357062,4.666503786953335,4.661767072581948,10.006803769513851,26.219700559772406,1,66.34730538922156,False,stop_loss,5.0,-7.9999999999999964
