code,company_name,sector33_name,close,pct_below_52w_high,recent_breakout_count_120d,trailing_return_pct,expected_win_rate_pct,expected_return_pct,sector_adjustment_pct,tightness_bonus_pct,composite_score,expected_value_sample_size,stop_loss_price,take_profit_price
83640,清水銀行,銀行業,3150.0,4.545454545454546,3.0,1.1382113821138211,62.1,2.65,2.592,-1.0,4.24,728,2898.0,3622.5
20010,ニップン,食料品,3010.0,-0.3667889296432144,3.0,3.520390379923318,70.6,3.4,-0.39,0.541,3.55,1190,2769.2,3461.5
95360,西部ガスホールディングス,電気･ガス業,2586.0,1.8223234624145785,1.0,7.010915197313182,70.3,3.16,-0.016,0.213,3.36,781,2379.1,2973.9
73880,ＦＰパートナー,保険業,2323.0,7.597454256165473,0.0,3.497757847533632,67.0,2.65,0.022,0.639,3.31,7299,2137.2,2671.4
90810,神奈川中央交通,陸運業,4065.0,0.7326007326007326,3.0,3.761348897535668,70.6,3.4,-0.645,0.475,3.23,1190,3739.8,4674.8
98320,オートバックスセブン,卸売業,1611.0,9.747899159663866,0.0,2.8664495114006514,65.3,2.26,0.088,0.869,3.22,6318,1482.1,1852.6
80520,椿本興業,卸売業,2920.0,7.154213036565977,0.0,3.187679083094556,67.0,2.65,0.088,0.443,3.18,7299,2686.4,3358.0
80980,稲畑産業,卸売業,4505.0,1.530054644808743,2.0,6.324582338902148,70.1,3.3,0.088,-0.213,3.18,718,4144.6,5180.8
93240,安田倉庫,倉庫･運輸関連業,2732.0,-1.5613382899628252,1.0,3.7109375,66.8,2.61,0.674,-0.115,3.17,1550,2513.4,3141.8
95350,広島ガス,電気･ガス業,449.0,-1.1261261261261262,3.0,6.987951807228916,68.7,3.09,-0.016,0.049,3.12,664,413.1,516.3
28110,カゴメ,食料品,2763.0,7.188444743029895,0.0,3.355201499531396,67.0,2.65,-0.39,0.738,3.0,7299,2542.0,3177.4
29080,フジッコ,食料品,1621.0,3.912270302311796,0.0,1.3157894736842104,65.3,2.26,-0.39,0.967,2.84,6318,1491.3,1864.2
23310,ＡＬＳＯＫ,サービス業,1241.0,7.041198501872659,3.0,4.10783055198973,70.6,3.4,-0.686,0.115,2.83,1190,1141.7,1427.1
22110,不二家,食料品,2517.0,6.256983240223464,0.0,1.2165450121654502,65.3,2.26,-0.39,0.934,2.8,6318,2315.6,2894.5
63330,ＴＥＩＫＯＫＵ,機械,3445.0,2.6836158192090394,1.0,6.853582554517133,70.3,3.16,0.389,-0.803,2.75,781,3169.4,3961.7
99910,ジェコス,卸売業,1792.0,8.008213552361395,0.0,1.5900056785917092,65.3,2.26,0.088,0.377,2.72,6318,1648.6,2060.8
63090,巴工業,機械,2017.0,9.915140687807057,0.0,1.0090817356205852,65.3,2.26,0.389,-0.016,2.63,6318,1855.6,2319.5
74590,メディパルホールディングス,卸売業,2938.5,5.453667953667954,1.0,2.0689655172413794,65.9,2.45,0.088,0.082,2.62,1031,2703.4,3379.3
90070,小田急電鉄,陸運業,1832.5,2.1361815754339117,2.0,5.832356389214537,68.3,2.85,-0.645,0.41,2.62,1346,1685.9,2107.4
98690,加藤産業,卸売業,6820.0,3.672316384180791,1.0,3.7037037037037033,66.8,2.61,0.088,-0.082,2.62,1550,6274.4,7843.0
74380,コンドーテック,卸売業,1729.0,1.0869565217391304,0.0,7.160647571606475,65.2,2.84,0.088,-0.311,2.62,2606,1590.7,1988.4
79470,エフピコ,化学,2817.0,2.6943005181347153,2.0,2.458715596330275,63.9,2.1,0.488,-0.049,2.54,1004,2591.6,3239.5
75160,コーナン商事,小売業,4530.0,1.735357917570499,3.0,4.428904428904429,70.6,3.4,-0.88,0.016,2.54,1190,4167.6,5209.5
79840,コクヨ,その他製品,899.2999877929688,7.764103816105769,0.0,3.7333915632388024,67.0,2.65,-0.305,0.18,2.52,7299,827.4,1034.2
80970,三愛オブリ,卸売業,2444.0,6.503442999234889,2.0,1.5697921086126432,63.9,2.1,0.088,0.311,2.5,1004,2248.5,2810.6
17620,高松コンストラクショングループ,建設業,4100.0,7.239819004524888,0.0,1.375,65.3,2.26,0.536,-0.41,2.39,6318,3772.0,4715.0
74760,アズワン,卸売業,2524.0,4.808598906279465,0.0,3.465658475110271,67.0,2.65,0.088,-0.344,2.39,7299,2322.1,2902.6
68100,マクセル,電気機器,2490.0,6.741573033707865,3.0,2.4160524160524157,62.1,2.65,0.662,-0.934,2.38,728,2290.8,2863.5
47920,山田コンサルティンググループ,サービス業,1771.0,6.83850604944766,0.0,2.460456942003515,65.3,2.26,-0.686,0.803,2.38,6318,1629.3,2036.6
90450,京阪ホールディングス,陸運業,3278.0,8.843159065628477,0.0,2.259707192870783,65.3,2.26,-0.645,0.705,2.32,6318,3015.8,3769.7
27520,フジオフードグループ本社,小売業,1152.0,3.5175879396984926,0.0,2.5,65.3,2.26,-0.88,0.902,2.28,6318,1059.8,1324.8
79310,未来工業,化学,3725.0,6.524466750313676,0.0,1.6666666666666667,65.3,2.26,0.488,-0.475,2.27,6318,3427.0,4283.8
93320,ＮＩＳＳＯホールディングス,サービス業,673.0,8.060109289617486,0.0,1.0752688172043012,65.3,2.26,-0.686,0.672,2.25,6318,619.2,773.9
99020,日伝,卸売業,3175.0,1.550387596899225,3.0,2.7642276422764227,62.1,2.65,0.088,-0.508,2.23,728,2921.0,3651.2
81600,木曽路,小売業,2466.0,7.605844885724991,0.0,2.297410192147034,65.3,2.26,-0.88,0.836,2.22,6318,2268.7,2835.9
95110,沖縄電力,電気･ガス業,1192.0,1.9736842105263157,1.0,5.112107623318385,66.8,2.61,-0.016,-0.377,2.22,1550,1096.6,1370.8
74210,カッパ・クリエイト,小売業,1615.0,4.944084755738669,0.0,2.229299363057325,65.3,2.26,-0.88,0.77,2.15,6318,1485.8,1857.2
21530,Ｅ・Ｊホールディングス,サービス業,1846.0,4.697986577181208,0.0,2.4239007891770012,65.3,2.26,-0.686,0.574,2.15,6318,1698.3,2122.9
69950,東海理化電機製作所,輸送用機器,3130.0,9.143686502177069,1.0,1.4586709886547813,65.9,2.45,0.34,-0.672,2.12,1031,2879.6,3599.5
32320,三重交通グループホールディングス,不動産業,598.0,5.529225908372828,3.0,6.871609403254973,68.7,3.09,-0.152,-0.836,2.1,664,550.2,687.7
47140,リソー教育グループ,サービス業,213.0,6.986899563318777,0.0,2.941176470588235,65.3,2.26,-0.686,0.508,2.08,6318,196.0,245.0
81500,三信電気,卸売業,3210.0,6.550218340611353,3.0,1.9169329073482428,62.1,2.65,0.088,-0.705,2.03,728,2953.2,3691.5
30500,ＤＣＭホールディングス,小売業,1600.0,8.36197021764032,0.0,1.20942075111394,65.3,2.26,-0.88,0.607,1.99,6318,1472.0,1840.0
