bin_range,n,win_rate_pct,avg_return_pct
"(-70.924, 1.369]",21355,55.9,1.93
"(1.369, 3.385]",21356,59.7,2.29
"(3.385, 5.433]",21352,58.0,2.01
"(5.433, 7.634]",21354,55.5,1.56
"(7.634, 10.0]",21355,52.8,1.07
