code,company_name,sector33_name,close,pct_below_52w_high,recent_breakout_count_120d,trailing_return_pct,expected_win_rate_pct,expected_return_pct,sector_adjustment_pct,tightness_bonus_pct,composite_score,expected_value_sample_size,stop_loss_price,take_profit_price
80950,アステナホールディングス,卸売業,537.0,1.2867647058823528,3.0,3.861003861003861,70.4,3.4,0.046,0.656,4.1,1072,494.0,617.6
31090,シキボウ,繊維製品,1089.0,6.923076923076923,0.0,5.728155339805825,67.6,2.73,0.312,0.934,3.98,6937,1001.9,1252.4
73130,テイ・エス　テック,輸送用機器,1853.5,8.174386920980927,2.0,3.865546218487395,68.0,2.87,0.304,0.748,3.92,1254,1705.2,2131.5
87060,極東証券,証券･商品先物取引業,1908.0,0.10471204188481677,3.0,6.921778277996624,69.6,3.21,0.866,-0.205,3.87,625,1755.4,2194.2
77690,リズム,精密機器,3990.0,8.59106529209622,2.0,3.8910505836575875,68.0,2.87,0.261,0.722,3.85,1254,3670.8,4588.5
72390,タチエス,輸送用機器,2349.0,0.21240441801189466,2.0,7.149404216315307,71.0,3.47,0.304,0.06,3.83,665,2161.1,2701.4
67180,アイホン,電気機器,2863.0,8.53035143769968,0.0,2.3588277340957826,65.6,2.3,0.687,0.828,3.82,6120,2634.0,3292.4
80160,オンワードホールディングス,繊維製品,774.0,8.076009501187649,0.0,4.891304347826087,67.6,2.73,0.312,0.709,3.75,6937,712.1,890.1
74820,シモジマ,卸売業,1502.0,-0.13333333333333333,1.0,7.614942528735632,70.9,3.26,0.046,0.444,3.75,752,1381.8,1727.3
80980,稲畑産業,卸売業,4270.0,2.733485193621868,3.0,4.838709677419355,70.4,3.4,0.046,0.285,3.73,1072,3928.4,4910.5
40410,日本曹達,化学,3950.0,5.952380952380952,0.0,3.968253968253968,67.6,2.73,0.481,0.391,3.6,6937,3634.0,4542.5
35430,コメダホールディングス,卸売業,2990.0,7.430340557275541,0.0,4.849557522123893,67.6,2.73,0.046,0.788,3.56,6937,2750.8,3438.5
40970,高圧ガス工業,化学,1194.0,1.6474464579901154,3.0,4.251550044286979,70.4,3.4,0.481,-0.338,3.54,1072,1098.5,1373.1
81300,サンゲツ,卸売業,3195.0,5.192878338278932,2.0,5.823627287853577,68.0,2.87,0.046,0.616,3.53,1254,2939.4,3674.2
59330,アルインコ,金属製品,1135.0,5.730897009966777,0.0,3.909090909090909,67.6,2.73,-0.072,0.868,3.53,6937,1044.2,1305.2
