code,date,close,recent_breakout_count_120d,trailing_return_pct,trade_outcome,days_to_outcome,outcome_return_pct
64810,2025-11-04,4167.0,0.0,3.4673366834170856,stop_loss,6.0,-7.999999999999992
64860,2025-11-04,2781.0,0.0,6.671868903628559,stop_loss,11.0,-8.0
96990,2025-11-04,4360.0,0.0,4.399524375743162,timeout_win,20.0,0.6880733944954129
64980,2025-11-04,1768.0,0.0,4.026442307692308,stop_loss,6.0,-7.99999999999999
86140,2025-11-04,568.0,0.0,4.554079696394687,timeout_win,20.0,4.049295774647888
79120,2025-11-04,2579.5,0.0,2.4831148192292414,timeout_win,20.0,0.3101376235704594
40080,2025-11-04,4770.0,0.0,2.685284640171858,timeout_win,20.0,9.014675052410901
78880,2025-11-04,851.0,0.0,1.079136690647482,timeout_loss,20.0,-4.81786133960047
40410,2025-11-04,3415.0,0.0,3.167420814479638,timeout_win,20.0,3.3674963396778916
40420,2025-11-04,2233.0,0.0,1.4526170163707632,timeout_win,20.0,2.978056426332288
96780,2025-11-04,3560.0,0.0,3.751803751803752,timeout_win,20.0,3.7921348314606744
54060,2025-11-04,1805.0,0.0,4.097421203438396,timeout_win,20.0,5.152354570637119
40430,2025-11-04,3768.0,0.0,5.676494902176908,timeout_win,20.0,7.218683651804671
86240,2025-11-04,894.0,0.0,2.9055690072639226,timeout_win,20.0,10.626398210290827
96720,2025-11-04,5460.0,0.0,5.736137667304015,timeout_loss,20.0,-0.5494505494505495
40280,2025-11-04,2442.0,0.0,6.496415770609319,take_profit,17.0,14.999999999999988
53020,2025-11-04,4355.0,0.0,2.479338842975207,timeout_win,20.0,2.4110218140068884
64540,2025-11-04,6260.0,0.0,1.0849909584086799,timeout_win,20.0,5.431309904153355
85510,2025-11-04,3785.0,0.0,2.5815217391304346,take_profit,15.0,15.0
83700,2025-11-04,3045.0,0.0,6.232294617563739,timeout_loss,20.0,-0.3284072249589491
63690,2025-11-04,4615.0,0.0,1.574803149606299,timeout_win,20.0,2.8169014084507045
63760,2025-11-04,1517.0,0.0,2.7891156462585034,timeout_win,20.0,0.0
80580,2025-11-04,3568.0,0.0,7.0049005477082735,timeout_win,20.0,2.8587443946188342
80560,2025-11-04,6160.0,0.0,6.198910081743869,stop_loss,2.0,-8.000000000000004
35690,2025-11-04,3170.0,0.0,5.807743658210948,timeout_loss,20.0,-1.2618296529968454
83770,2025-11-04,3810.0,0.0,1.7775383786695396,take_profit,12.0,15.0
83810,2025-11-04,1373.0,0.0,3.1202435312024352,timeout_win,20.0,4.588492352512746
63790,2025-11-04,1938.0,0.0,2.6231263383297643,take_profit,7.0,14.999999999999991
63830,2025-11-04,5108.0,0.0,6.898047722342733,timeout_loss,20.0,-2.0751761942051683
98300,2025-11-04,2395.0,0.0,3.486394557823129,timeout_loss,20.0,-2.8810020876826723
80530,2025-11-04,4414.0,0.0,5.602636534839925,timeout_win,20.0,8.994109651110104
35800,2025-11-04,835.0,0.0,4.622871046228711,timeout_loss,20.0,-0.23952095808383234
63900,2025-11-04,1385.0,0.0,2.6627218934911245,stop_loss,9.0,-7.999999999999997
17860,2025-11-04,426.0,0.0,2.9055690072639226,timeout_loss,20.0,-3.755868544600939
59460,2025-11-04,1965.0,0.0,2.786540483701367,timeout_win,20.0,1.424936386768448
83680,2025-11-04,955.0,0.0,5.993340732519423,timeout_win,20.0,7.43455497382199
83670,2025-11-04,5190.0,0.0,5.4470709146968135,timeout_win,20.0,8.670520231213873
17620,2025-11-04,3370.0,0.0,3.3587786259541987,take_profit,13.0,14.999999999999986
59590,2025-11-04,908.0,0.0,2.4581005586592175,timeout_win,20.0,0.9911894273127754
83620,2025-11-04,2212.0,0.0,3.7708830548926016,timeout_win,20.0,6.962025316455696
80780,2025-11-04,6460.0,0.0,2.0602218700475436,timeout_win,20.0,6.5015479876160995
80740,2025-11-04,5020.0,0.0,1.4141414141414141,timeout_win,20.0,4.382470119521913
30360,2025-11-04,2185.0,0.0,6.170421155729676,timeout_win,20.0,5.17162471395881
98370,2025-11-04,1633.0,0.0,4.838709677419355,timeout_loss,20.0,-0.1837109614206981
59490,2025-11-04,1235.0,0.0,1.1804384485666104,stop_loss,3.0,-7.9999999999999964
80510,2025-11-04,1438.0,0.0,5.228276877761414,timeout_win,20.0,1.321279554937413
63260,2025-11-04,2019.0,0.0,6.86431623931624,take_profit,18.0,14.999999999999996
83640,2025-11-04,2051.0,0.0,1.2054244098442994,timeout_win,20.0,5.411994149195514
80700,2025-11-04,938.0,0.0,6.499429874572406,take_profit,15.0,14.99999999999998
35490,2025-11-04,3899.0,0.0,3.2241014799154333,timeout_win,20.0,0.43600923313670176
30030,2025-11-04,1596.0,0.0,2.448453608247423,timeout_win,20.0,4.730576441102756
17210,2025-11-04,3964.0,0.0,7.511737089201878,timeout_win,20.0,5.82744702320888
29820,2025-11-04,468.0,0.0,1.4957264957264957,stop_loss,12.0,-8.0
63390,2025-11-04,1054.0,0.0,2.274975272007913,stop_loss,3.0,-7.999999999999995
17190,2025-11-04,1748.0,0.0,6.342364532019705,timeout_win,20.0,4.948512585812357
57020,2025-11-04,1138.0,0.0,1.257861635220126,timeout_loss,20.0,-5.0966608084358525
35930,2025-11-04,5400.0,0.0,3.6821705426356592,timeout_win,20.0,5.185185185185185
83920,2025-11-04,5210.0,0.0,1.7999999999999998,take_profit,18.0,14.999999999999982
28740,2025-11-04,1231.0,0.0,2.8523489932885906,timeout_win,20.0,7.961007311129163
80200,2025-11-04,3110.0,0.0,1.925587467362924,timeout_win,20.0,7.459807073954984
85240,2025-11-04,724.0,0.0,1.262272089761571,take_profit,17.0,14.999999999999988
18710,2025-11-04,1836.0,0.0,1.4565826330532212,take_profit,5.0,14.99999999999998
58310,2025-11-04,2110.5,0.0,3.336653386454183,timeout_win,20.0,9.429045249940772
64400,2025-11-04,445.0,0.0,5.727923627684964,timeout_win,20.0,2.696629213483146
85410,2025-11-04,1257.0,0.0,5.752961082910321,timeout_win,20.0,6.443914081145586
80140,2025-11-04,3890.0,0.0,1.6624040920716114,timeout_win,20.0,5.784061696658098
28100,2025-11-04,2911.0,0.0,1.333801333801334,timeout_loss,20.0,-1.3740982480247337
57140,2025-11-04,5599.0,0.0,4.3024771838331155,timeout_win,20.0,8.055009823182711
80120,2025-11-04,3430.0,0.0,6.947969543147208,timeout_win,20.0,5.772594752186589
85440,2025-11-04,1303.0,0.0,4.754230459307011,take_profit,16.0,14.999999999999986
57110,2025-11-04,2939.0,0.0,7.414104882459313,timeout_win,20.0,6.430758761483498
57030,2025-11-04,2171.0,0.0,7.244995233555768,timeout_win,20.0,10.686319668355598
18820,2025-11-04,1571.0,0.0,4.435483870967742,timeout_win,20.0,2.4824952259707196
18700,2025-11-04,2199.0,0.0,2.152550304164717,timeout_win,20.0,2.5466120964074577
18600,2025-11-04,1049.5,0.0,4.788306451612903,take_profit,16.0,14.999999999999996
80310,2025-11-04,3756.0,0.0,4.680616740088106,timeout_win,20.0,9.185303514376997
18520,2025-11-04,898.0,0.0,4.710144927536232,take_profit,17.0,14.99999999999998
18030,2025-11-04,2104.5,0.0,4.7751389590702376,take_profit,7.0,14.999999999999988
