code,date,close,daily_return_pct
57410,2025-09-29,1610.0,-75.30674846625767
58010,2026-04-30,4237.0,-90.12354312354313
58020,2026-04-30,2547.5,-75.0
58030,2026-03-30,4505.0,-83.695258776692
61960,2026-03-30,1320.0,-66.7924528301887
62580,2025-03-28,1597.0,-68.50098619329388
62640,2026-03-30,1511.0,-51.021069692058354
62690,2025-11-12,13055.0,26.074360212457748
63090,2025-04-28,1378.0,-67.26840855106889
63280,2025-12-29,2233.0,-47.82710280373832
63310,2025-03-28,1394.0,-66.1239368165249
63510,2025-09-29,2100.0,-48.90510948905109
63690,2025-12-29,2555.0,-46.93665628245067
63810,2025-05-12,1403.0,27.198549410698103
63870,2026-05-07,14370.0,25.283347863993022
64540,2026-03-30,1635.0,-75.77777777777777
64630,2025-09-29,1215.0,-50.649878147847275
64800,2026-05-12,1930.0,26.1437908496732
65160,2025-09-29,3385.0,-67.26305609284333
65440,2025-09-29,1881.0,-52.79799247176913
65900,2026-02-26,6000.0,-78.87323943661973
65920,2025-12-29,1469.0,-49.93183367416496
66150,2025-12-05,355.0,29.0909090909091
67010,2025-03-28,3224.0,-79.85
67400,2025-09-17,30.0,42.85714285714286
67400,2026-03-09,52.0,92.59259259259258
67400,2026-03-10,82.0,57.692307692307686
67400,2026-03-11,106.0,29.268292682926834
67400,2026-03-12,79.0,-25.47169811320755
67400,2026-03-16,121.0,32.967032967032964
67400,2026-03-23,65.0,-31.57894736842105
67400,2026-04-01,95.0,31.944444444444443
67450,2026-03-30,2114.0,-67.96969696969697
68500,2025-09-29,1333.0,-51.52727272727273
70120,2026-03-30,2917.0,-80.8028956893715
70130,2025-09-29,2623.0,-85.00714489854244
70590,2025-09-29,1189.0,-49.296375266524514
71640,2025-03-28,2985.0,-51.12166366464712
71730,2026-04-30,1457.5,-87.75210084033614
71810,2026-03-30,1571.0,-68.04312449145647
72360,2026-04-30,1111.0,-88.43912591050989
72360,2026-05-01,1460.0,31.413141314131423
72380,2026-02-12,176.0,32.33082706766916
72800,2026-01-19,1454.0,25.99653379549394
73220,2026-03-30,1474.0,-76.45367412140575
73270,2025-09-29,1422.0,-66.69789227166277
73660,2026-05-12,1470.0,25.2129471890971
73800,2026-03-30,1825.0,-80.50213675213675
73810,2025-09-29,660.0,-90.1639344262295
73890,2026-03-30,1422.0,-79.8583569405099
74190,2025-10-09,1346.0,-65.75063613231552
74530,2025-08-28,3290.0,-51.2158956109134
74660,2026-03-30,1269.0,-51.49082568807339
75320,2025-09-29,984.1,-80.49355797819624
75520,2025-12-29,2943.0,-49.77815699658703
75950,2025-09-29,1225.0,-75.93320235756384
76090,2025-12-29,2500.0,-48.875255623721884
76280,2025-12-29,1199.0,-50.413564929693955
77350,2026-03-30,9119.0,-52.206498951781974
77400,2025-06-27,858.0,-75.16642547033285
77400,2026-07-30,1434.0,26.455026455026463
77440,2025-06-27,1486.0,-67.0874861572536
78180,2025-08-28,1226.0,-50.524616626311534
78460,2026-04-30,1596.6666259765625,-67.03145517289775
79140,2025-03-28,1045.0,-75.86605080831409
79170,2025-09-29,1039.0,-75.52414605418139
79840,2025-06-27,821.2,-74.8406862745098
80010,2025-12-29,2015.0,-78.93361212754834
80070,2025-09-29,835.0,-51.59420289855072
80120,2026-03-30,1151.5,-75.60381355932203
80200,2025-12-29,1817.0,-48.614253393665166
80220,2025-03-28,2622.0,-67.6695437731196
80430,2025-03-28,938.0,-67.49826749826751
80500,2026-03-30,5690.0,-52.184873949579824
80530,2026-04-30,1460.0,-74.83192553008102
80570,2026-01-19,2265.0,-80.06161971830986
80600,2026-03-30,3455.0,-50.144300144300146
80610,2025-09-29,1982.0,-66.91151919866445
80750,2025-03-28,2031.0,-67.39967897271268
80780,2026-03-30,1555.0,-80.16581632653062
81110,2025-09-29,2499.0,-67.3546701502286
81360,2026-03-30,980.4,-81.51235149915142
81420,2026-01-29,1272.0,-67.1741935483871
81790,2025-12-29,1340.0,-52.27920227920229
81940,2025-02-27,1804.0,-50.303030303030305
82190,2026-03-30,821.0,-67.31687898089172
82270,2026-02-19,3628.0,-67.43267504488331
82670,2025-08-28,1784.0,-66.82781703235403
82730,2026-02-26,1024.0,-67.28434504792332
83090,2026-04-30,1294.5,-75.64898419864559
83360,2026-03-30,2066.0,-67.61755485893417
83370,2025-07-01,1493.0,25.146689019279123
83410,2026-03-30,3064.0,-67.7677256469598
83440,2025-02-04,1279.0,26.13412228796843
83450,2026-03-30,1612.0,-76.36363636363637
83660,2026-03-30,1823.0,-81.08921161825727
83670,2026-03-30,1452.0,-80.48387096774194
83860,2026-03-30,2139.0,-75.47018348623853
83920,2026-03-30,1843.0,-81.51454363089267
83930,2026-03-30,1824.0,-81.07883817427386
84240,2025-03-28,3943.0,-67.37277616880431
84730,2025-11-27,3285.0,-50.08357392493542
85220,2025-09-29,3430.0,-67.17703349282297
